name,octagon_debut,height,weight,reach,leg_reach,sig_strikes_landed_per_minute,sig_strikes_absorbed_per_minute,takedowns_avg,submission_avg,knockdown_avg,fight_time_avg
daniel zellhuber,"Sep. 17, 2022",73.0,156.0,77.0,43.5,6.0,6.0,0.15,0.15,0.3,844
danielle taylor,"Aug. 7, 2016",60.0,115.3,60.0,34.0,3.0,3.0,0.2,0.2,0.0,900
daniil donchenko,"Aug. 16, 2025",71.0,186.0,73.1,40.5,9.0,2.0,3.37,0.0,3.37,267
danillo villefort,"Aug. 8, 2009",73.0,170.0,73.6,41.5,3.0,2.0,1.71,1.71,0.0,650
danilo belluardo,"Jun. 1, 2019",72.0,156.0,74.5,39.0,2.0,5.0,3.5,0.0,0.0,257
danilo marques,"Sep. 26, 2020",78.0,205.5,77.0,45.0,1.0,3.0,3.93,0.79,0.0,572
danilo suzart,"Sep. 27, 2025",75.6,255.0,78.5,44.2,4.0,12.0,0.0,0.0,0.0,220
danny abbadi,"Jun. 24, 2006",71.0,156.0,71.0,40.2,3.0,4.0,0.0,0.0,0.0,538
danny barlow,"Feb. 17, 2024",74.0,170.5,79.0,42.0,6.0,4.0,0.0,0.0,0.49,462
danny castillo,"Mar. 4, 2011",69.0,156.0,71.0,39.5,3.0,2.0,2.95,0.19,0.19,653
danny chavez,"Aug. 15, 2020",68.0,145.0,67.0,38.0,3.0,4.0,1.95,0.0,0.0,693
danny henry,"Jul. 16, 2017",72.0,146.0,73.0,40.0,5.0,4.0,0.74,2.23,1.49,303
danny martinez,"Feb. 2, 2014",65.0,125.0,66.1,37.5,3.0,4.0,3.0,0.0,0.2,900
danny mitchell,"Mar. 8, 2014",74.0,171.0,74.0,41.5,3.0,3.0,0.0,3.0,0.0,900
danny roberts,"Dec. 10, 2015",73.0,171.0,74.0,42.0,3.0,4.0,0.24,0.24,0.35,545
danny sabatello,"Sep. 27, 2025",67.6,135.5,69.5,37.9,2.0,0.0,3.0,1.0,0.0,900
danny silva,"Mar. 16, 2024",71.0,144.5,70.0,39.0,7.0,7.0,2.0,0.25,0.25,900
dante rivera,"Jun. 21, 2008",72.0,185.0,74.3,41.1,2.0,4.0,0.0,0.0,0.0,900
danyelle wolf,"Sep. 10, 2022",71.5,146.0,70.0,40.0,2.0,5.0,0.0,0.5,0.0,900
danylo voievodkin,"Sep. 27, 2025",75.2,263.0,74.9,41.9,10.0,0.0,0.0,12.33,12.33,73
