days_since_debut_diff,losses_diff,wins_diff,head_target_diff,sig_strikes_ground_diff,sig_strikes_landed_diff,knockdown_avg_diff,takedowns_avg_diff,sig_strikes_standing_diff,sig_strikes_attempted_diff,takedowns_attempted_diff,takedown_defense_diff,submission_avg_diff,days_since_win_diff,leg_target_diff,winner
-168,-5,-15,-29,-21,-42,0.0,-0.91,-18,-145,-14,49,0.2799999999999998,0.0,-5,1
0,-11,-19,-449,-17,-771,-0.07,1.73,-641,-1685,-17,42,0.53,0.0,-194,1
0,8,12,176,101,371,0.38,1.53,248,702,20,67,0.76,0.0,118,0
-196,0,5,176,65,287,0.66,0.69,187,759,13,-25,-0.8300000000000001,-196.0,43,0
-112,-1,6,-41,-89,-78,1.4,-2.48,-2,-7,-20,-17,-0.49,-70.0,6,1
-210,3,3,-34,23,-49,0.0,0.6099999999999999,-53,-135,20,-39,1.66,-210.0,-12,1
-173,3,6,14,8,81,-0.48,-0.0700000000000002,30,128,29,-29,0.0,-94.0,30,1
98,-1,7,-170,-50,-193,-0.77,-1.13,-91,-495,-15,-73,0.1999999999999999,43.0,7,1
364,-9,-11,144,144,369,-0.47,2.33,92,831,69,70,-0.1699999999999999,14.0,96,0
-228,3,8,132,27,48,0.8099999999999999,-0.6600000000000001,37,333,-15,32,-0.08,78.0,-88,0
-672,0,3,-153,-88,-191,-0.15,1.85,-68,-467,34,22,0.5,10.0,-10,0
213,1,1,-142,-86,-312,-0.77,2.62,-125,-749,33,-11,1.02,-239.0,-98,1
-133,-1,6,-380,-66,-297,0.37,-0.6400000000000001,-159,-1480,-98,0,1.5599999999999998,0.0,82,0
-452,-3,-19,-14,-10,39,0.0,-1.64,27,46,-13,33,-2.37,-487.0,10,1
-63,1,4,242,182,450,0.09,-3.01,224,1326,58,43,-0.4,119.0,66,0
917,10,6,350,77,592,0.48,1.45,372,1158,58,9,0.76,700.0,92,0
-532,-10,-26,-246,-14,-507,-0.24,2.7,-463,-1006,-6,-6,0.49,-287.0,-136,1
